"",startCity,lastCity,Company,AirlineCode,StartDrome,ArriveDrome,StartTime,ArriveTime,Mode,AirlineStop,Week
"",BJS,DQA,中国国际航空公司,CA1695,首都国际机场,大庆萨尔图机场,13:30,15:20,733,0,123456日
"",BJS,DQA,中国南方航空(集团)公司,CZ6216,首都国际机场,大庆萨尔图机场,19:10,20:50,320,0,135日
"",BJS,DSN,中国国际航空公司,CA1149,首都国际机场,鄂尔多斯机场,07:50,09:20,738,0,123456日
"",BJS,DSN,上海航空公司,FM2941,南苑机场,鄂尔多斯机场,13:55,15:00,738,0,123456日
"",BJS,DSN,中国国际航空公司,CA1143,首都国际机场,鄂尔多斯机场,18:10,19:40,JET,0,123456日
"",BJS,DYG,中国南方航空(集团)公司,CZ3718,首都国际机场,张家界机场,13:35,16:05,320,0,123456日
"",BJS,DYG,中国国际航空公司,CA1359,首都国际机场,张家界机场,18:35,20:55,738,0,12345日
"",BJS,FOC,中国国际航空公司,CA1505,首都国际机场,长乐机场,08:35,11:05,738,0,123456日
"",BJS,FOC,中国国际航空公司,CA1807,首都国际机场,长乐机场,16:20,18:50,JET,0,123456日
"",BJS,FOC,上海航空公司,FM2901,南苑机场,长乐机场,18:10,20:40,738,0,123456日
"",BJS,FOC,中国国际航空公司,CA1821,首都国际机场,长乐机场,20:00,22:30,738,0,123456日
"",BJS,FUG,上海航空公司,FM2947,南苑机场,阜阳机场,08:10,09:20,737,0,135日
"",BJS,GYS,中国国际航空公司,CA1457,首都国际机场,广元机场,12:10,14:20,73G,0,135
"",BJS,HAK,中国南方航空(集团)公司,CZ6366,首都国际机场,美兰机场,07:25,12:50,733,0,123456日
"",BJS,HAK,中国国际航空公司,CA1379,首都国际机场,美兰机场,07:30,11:00,JET,0,123456日
"",BJS,HAK,上海航空公司,FM2911,南苑机场,美兰机场,08:20,12:50,737,0,123456日
"",BJS,HAK,中国南方航空(集团)公司,CZ6720,首都国际机场,美兰机场,08:50,12:35,733,0,123456日
"",BJS,HAK,中国南方航空(集团)公司,CZ3120,首都国际机场,美兰机场,13:10,17:00,321,0,123456日
"",BJS,HAK,中国国际航空公司,CA1355,首都国际机场,美兰机场,17:00,20:30,JET,0,123456日
"",BJS,HAK,中国南方航空(集团)公司,CZ6158,首都国际机场,美兰机场,21:10,00:50,733,0,123456日
"",BJS,HEK,中国南方航空(集团)公司,CZ6657,首都国际机场,黑河机场,07:35,11:00,320,0,123456日
"",BJS,HET,中国国际航空公司,CA1103,首都国际机场,白塔机场,07:45,08:45,738,0,123456日
"",BJS,HET,中国国际航空公司,CA1111,首都国际机场,白塔机场,11:25,12:30,738,0,123456日
"",BJS,HET,上海航空公司,FM2937,南苑机场,白塔机场,12:40,13:25,738,0,123456日
"",BJS,HET,中国国际航空公司,CA1125,首都国际机场,白塔机场,15:20,16:20,JET,0,123456日
"",BJS,HET,中国国际航空公司,CA1115,首都国际机场,白塔机场,16:50,17:55,738,0,123456日
"",BJS,HET,中国国际航空公司,CA1267,首都国际机场,白塔机场,18:30,19:30,738,0,2345日
"",BJS,HET,中国国际航空公司,CA1113,首都国际机场,白塔机场,19:25,20:25,733,0,123456日
"",BJS,HET,中国国际航空公司,CA1101,首都国际机场,白塔机场,20:25,21:30,JET,0,123456日
"",BJS,HET,中国国际航空公司,CA1105,首都国际机场,白塔机场,20:55,22:00,JET,0,235日
"",BJS,HET,中国南方航空(集团)公司,CZ6637,首都国际机场,白塔机场,21:40,22:35,738,0,3日
"",BJS,HFE,中国国际航空公司,CA1835,首都国际机场,骆岗机场,07:50,09:45,JET,0,123456日
"",BJS,HFE,中国国际航空公司,CA1843,首都国际机场,骆岗机场,12:30,14:15,JET,0,123456日
"",BJS,HFE,中国国际航空公司,CA1543,首都国际机场,骆岗机场,15:10,16:55,JET,0,123456日
"",BJS,HFE,中国国际航空公司,CA1579,首都国际机场,骆岗机场,17:05,18:50,738,0,123456日
"",BJS,HFE,中国国际航空公司,CA1845,首都国际机场,骆岗机场,20:05,21:50,738,0,123456日
"",BJS,HGH,中国南方航空(集团)公司,CZ5166,首都国际机场,萧山国际机场,07:55,09:55,737,0,123456日
"",BJS,HGH,中国国际航空公司,CA1509,首都国际机场,萧山国际机场,08:00,10:00,JET,0,123456日
"",BJS,HGH,上海航空公司,FM2287,南苑机场,萧山国际机场,08:15,10:00,738,0,123456日
"",BJS,HGH,中国国际航空公司,CA966,首都国际机场,萧山国际机场,09:00,11:00,330,0,1246日
"",BJS,HGH,中国国际航空公司,CA1595,首都国际机场,萧山国际机场,09:00,11:00,JET,0,35
"",BJS,HGH,中国南方航空(集团)公司,CZ3905,首都国际机场,萧山国际机场,09:10,11:10,321,0,123456日
"",BJS,HGH,中国南方航空(集团)公司,CZ5164,首都国际机场,萧山国际机场,09:15,11:15,320,0,123456日
"",BJS,HGH,中国南方航空(集团)公司,CZ5132,首都国际机场,萧山国际机场,10:55,13:00,320,0,123456日
"",BJS,HGH,中国国际航空公司,CA1702,首都国际机场,萧山国际机场,11:00,12:55,319,0,123456日
"",BJS,HGH,中国国际航空公司,CA1704,首都国际机场,萧山国际机场,12:00,14:05,319,0,123456日
"",BJS,HGH,中国国际航空公司,CA1712,首都国际机场,萧山国际机场,13:00,14:55,320,0,123456日
"",BJS,HGH,中国国际航空公司,CA1716,首都国际机场,萧山国际机场,14:00,16:00,321,0,123456日
"",BJS,HGH,中国国际航空公司,CA1563,首都国际机场,萧山国际机场,15:00,17:00,738,0,123456日
"",BJS,HGH,中国南方航空(集团)公司,CZ5168,首都国际机场,萧山国际机场,15:15,17:15,320,0,123456日
"",BJS,HGH,中国南方航空(集团)公司,CZ6163,首都国际机场,萧山国际机场,16:00,17:55,321,0,123456日
"",BJS,HGH,中国国际航空公司,CA1547,首都国际机场,萧山国际机场,16:00,18:00,JET,0,123456日
"",BJS,HGH,中国国际航空公司,CA1565,首都国际机场,萧山国际机场,17:00,18:55,JET,0,123456日
"",BJS,HGH,中国国际航空公司,CA1706,首都国际机场,萧山国际机场,18:00,20:00,319,0,123456日
"",BJS,HGH,中国国际航空公司,CA1710,首都国际机场,萧山国际机场,19:00,21:00,320,0,123456日
"",BJS,HGH,中国国际航空公司,CA1708,首都国际机场,萧山国际机场,21:00,23:00,319,0,123456日
"",BJS,HGH,中国南方航空(集团)公司,CZ5162,首都国际机场,萧山国际机场,22:00,23:55,320,0,123456日
"",BJS,HLD,中国国际航空公司,CA1131,首都国际机场,东山机场,07:30,09:30,733,0,135日
"",BJS,HLD,上海航空公司,FM2291,南苑机场,东山机场,09:40,11:40,738,0,123456日
"",BJS,HRB,中国南方航空(集团)公司,CZ6657,首都国际机场,太平机场,07:35,09:20,320,0,123456日
"",BJS,HRB,中国南方航空(集团)公司,CZ6267,首都国际机场,太平机场,07:45,09:40,320,0,123456日
"",BJS,HRB,中国国际航空公司,CA1603,首都国际机场,太平机场,08:10,09:40,738,0,123456日
"",BJS,HRB,大新华航空有限公司,CN7127,首都国际机场,太平机场,08:25,10:00,738,0,123456日
"",BJS,HRB,大新华航空有限公司,CN7129,首都国际机场,太平机场,09:50,11:30,738,0,123456日
"",BJS,HRB,中国国际航空公司,CA1643,首都国际机场,太平机场,09:55,11:40,738,0,123456日
"",BJS,HRB,中国南方航空(集团)公司,CZ6279,首都国际机场,太平机场,10:40,12:20,319,0,123456日
"",BJS,HRB,中国南方航空(集团)公司,CZ6220,首都国际机场,太平机场,11:50,13:30,320,0,123456日
"",BJS,HRB,中国国际航空公司,CA1623,首都国际机场,太平机场,12:55,14:35,738,0,123456日
"",BJS,HRB,中国国际航空公司,CA1665,首都国际机场,太平机场,13:55,15:40,738,0,2
"",BJS,HRB,大新华航空有限公司,CN7149,首都国际机场,太平机场,14:55,16:40,738,0,123456日
"",BJS,HRB,中国国际航空公司,CA1611,首都国际机场,太平机场,16:20,18:00,JET,0,123456日
"",BJS,HRB,中国南方航空(集团)公司,CZ6204,首都国际机场,太平机场,17:10,18:40,320,0,123456日
"",BJS,HRB,中国南方航空(集团)公司,CZ6218,首都国际机场,太平机场,18:05,19:45,320,0,123456日
"",BJS,HRB,中国国际航空公司,CA1621,首都国际机场,太平机场,18:10,19:55,JET,0,123456日
"",BJS,HRB,中国国际航空公司,CA1639,首都国际机场,太平机场,20:35,22:15,738,0,123456日
"",BJS,HRB,中国南方航空(集团)公司,CZ6202,首都国际机场,太平机场,23:00,00:40,319,0,123456日
"",BJS,HYN,中国国际航空公司,CA1851,首都国际机场,黄岩机场,13:35,15:45,733,0,123456日
"",BJS,HYN,中国国际航空公司,CA1851,首都国际机场,黄岩机场,13:35,15:45,733,0,123456日
"",BJS,HYN,中国国际航空公司,CA1869,首都国际机场,黄岩机场,18:10,20:20,733,0,123456日
"",BJS,HYN,中国国际航空公司,CA1869,首都国际机场,黄岩机场,18:10,20:20,733,0,123456日
"",BJS,INC,中国国际航空公司,CA1217,首都国际机场,河东机场,07:45,09:40,738,0,123456日
"",BJS,INC,中国国际航空公司,CA1219,首都国际机场,河东机场,13:35,15:20,738,0,123456日
"",BJS,INC,中国国际航空公司,CA1229,首都国际机场,河东机场,16:30,18:20,738,0,123456日
"",BJS,INC,中国南方航空(集团)公司,CZ6117,首都国际机场,河东机场,19:15,21:10,321,0,123456日
